tissue_id	label
tissue_18	Pancreas and Gallbladder
tissue_555	Liver and Bile Duct
tissue_191	Liver and Bile Duct
tissue_629	Liver and Bile Duct
tissue_453	Liver and Bile Duct
tissue_294	Pancreas and Gallbladder
tissue_212	Stomach and Esophagus
tissue_989	Stomach and Esophagus
tissue_654	Stomach and Esophagus
tissue_641	Stomach and Esophagus
tissue_250	Stomach and Esophagus
tissue_388	Stomach and Esophagus
tissue_1034	Stomach and Esophagus
tissue_269	Stomach and Esophagus
tissue_658	Stomach and Esophagus
tissue_915	Lymphoid Lineage
tissue_165	Lymphoid Lineage
tissue_287	Lymphoid Lineage
tissue_798	Myeloid Lineage
tissue_190	Myeloid Lineage
tissue_252	Cervix
tissue_273	Cervix
tissue_1103	Cervix
tissue_240	Cervix
tissue_458	Cervix
tissue_216	Cervix
tissue_207	Cervix
tissue_909	Cervix
tissue_590	Cervix
tissue_177	Cervix
tissue_487	Uterus
tissue_949	Uterus
tissue_961	Uterus
tissue_908	Uterus
tissue_262	Uterus
tissue_385	Plasma Cell Lineage
tissue_271	Liver and Bile Duct
tissue_944	Liver and Bile Duct
tissue_130	Liver and Bile Duct
tissue_434	Liver and Bile Duct
tissue_716	Plasma Cell Lineage
tissue_856	Plasma Cell Lineage
tissue_460	Pancreas and Gallbladder
tissue_52	NEC of Lung or Other Organs
tissue_885	Stomach and Esophagus
tissue_381	Stomach and Esophagus
tissue_778	Pancreas and Gallbladder
tissue_864	Pancreas and Gallbladder
tissue_518	Pancreas and Gallbladder
tissue_667	Pancreas and Gallbladder
tissue_774	Pancreas and Gallbladder
tissue_473	Pancreas and Gallbladder
tissue_222	Pancreas and Gallbladder
tissue_651	Stomach and Esophagus
tissue_484	Stomach and Esophagus
tissue_411	Stomach and Esophagus
tissue_139	Stomach and Esophagus
tissue_347	Stomach and Esophagus
tissue_888	Stomach and Esophagus
tissue_293	Bladder and Urothelial Tract
tissue_92	Head and Neck
tissue_492	Head and Neck
tissue_594	Bladder and Urothelial Tract
tissue_480	Bladder and Urothelial Tract
tissue_2	Head and Neck
tissue_1085	Head and Neck
tissue_892	Head and Neck
tissue_199	Bladder and Urothelial Tract
tissue_424	Head and Neck
tissue_3	Head and Neck
tissue_390	Head and Neck
tissue_137	Head and Neck
tissue_838	Head and Neck
tissue_313	Plasma Cell Lineage
tissue_1048	Plasma Cell Lineage
tissue_170	Plasma Cell Lineage
tissue_959	Uterus
tissue_280	Uterus
tissue_63	Uterus
tissue_227	Uterus
tissue_1062	Uterus
tissue_46	Bladder and Urothelial Tract
tissue_669	Bladder and Urothelial Tract
tissue_546	Bladder and Urothelial Tract
tissue_376	Plasma Cell Lineage
tissue_526	Plasma Cell Lineage
tissue_300	Lymphoid Lineage
tissue_607	Head and Neck
tissue_809	Liver and Bile Duct
tissue_739	Liver and Bile Duct
tissue_584	Head and Neck
tissue_184	Anus
tissue_1091	Anus
tissue_602	Anus
tissue_826	Pancreas and Gallbladder
tissue_599	Bone and Soft Tissue
tissue_614	Bone and Soft Tissue
tissue_1040	Bone and Soft Tissue
tissue_853	Myeloid Lineage
tissue_69	Bone and Soft Tissue
tissue_97	Bone and Soft Tissue
tissue_795	Bone and Soft Tissue
