label_w_size	n	region_size_mb
Melanocytic Lineage (N=16)	546	31.291716
Melanocytic Lineage (N=16)	831	31.291716
Melanocytic Lineage (N=16)	1015	31.291716
Melanocytic Lineage (N=16)	557	31.291716
Melanocytic Lineage (N=16)	476	31.291716
Melanocytic Lineage (N=16)	686	31.291716
Myeloid Lineage (N=22)	4	31.291716
Myeloid Lineage (N=22)	420	31.291716
Myeloid Lineage (N=22)	165	31.291716
Myeloid Lineage (N=22)	40	31.291716
Myeloid Lineage (N=22)	23	31.291716
Myeloid Lineage (N=22)	1282	31.291716
Myeloid Lineage (N=22)	699	31.291716
Myeloid Lineage (N=22)	814	31.291716
Myeloid Lineage (N=22)	398	31.291716
Myeloid Lineage (N=22)	762	31.291716
Myeloid Lineage (N=22)	257	31.291716
Myeloid Lineage (N=22)	343	31.291716
Myeloid Lineage (N=22)	90	31.291716
Myeloid Lineage (N=22)	579	31.291716
Myeloid Lineage (N=22)	217	31.291716
Myeloid Lineage (N=22)	472	31.291716
Myeloid Lineage (N=22)	1712	31.291716
Myeloid Lineage (N=22)	177	31.291716
Myeloid Lineage (N=22)	773	31.291716
Myeloid Lineage (N=22)	202	31.291716
Myeloid Lineage (N=22)	603	31.291716
Myeloid Lineage (N=22)	265	31.291716
NEC of Lung or Other Organs (N=49)	777	31.291716
NEC of Lung or Other Organs (N=49)	817	31.291716
NEC of Lung or Other Organs (N=49)	2359	31.291716
NEC of Lung or Other Organs (N=49)	2452	31.291716
NEC of Lung or Other Organs (N=49)	1766	31.291716
NEC of Lung or Other Organs (N=49)	685	31.291716
NEC of Lung or Other Organs (N=49)	346	31.291716
NEC of Lung or Other Organs (N=49)	1772	31.291716
NEC of Lung or Other Organs (N=49)	3298	31.291716
NEC of Lung or Other Organs (N=49)	3216	31.291716
NEC of Lung or Other Organs (N=49)	3157	31.291716
NEC of Lung or Other Organs (N=49)	1481	31.291716
NEC of Lung or Other Organs (N=49)	348	31.291716
NEC of Lung or Other Organs (N=49)	1311	31.291716
NEC of Lung or Other Organs (N=49)	477	31.291716
NEC of Lung or Other Organs (N=49)	1894	31.291716
NEC of Lung or Other Organs (N=49)	1638	31.291716
NEC of Lung or Other Organs (N=49)	798	31.291716
NEC of Lung or Other Organs (N=49)	3515	31.291716
NEC of Lung or Other Organs (N=49)	1839	31.291716
NEC of Lung or Other Organs (N=49)	2508	31.291716
NEC of Lung or Other Organs (N=49)	819	31.291716
NEC of Lung or Other Organs (N=49)	1172	31.291716
NEC of Lung or Other Organs (N=49)	2314	31.291716
NEC of Lung or Other Organs (N=49)	369	31.291716
NEC of Lung or Other Organs (N=49)	1011	31.291716
NEC of Lung or Other Organs (N=49)	2214	31.291716
NEC of Lung or Other Organs (N=49)	1542	31.291716
NEC of Lung or Other Organs (N=49)	2078	31.291716
NEC of Lung or Other Organs (N=49)	1344	31.291716
NEC of Lung or Other Organs (N=49)	2541	31.291716
NEC of Lung or Other Organs (N=49)	2100	31.291716
NEC of Lung or Other Organs (N=49)	2413	31.291716
NEC of Lung or Other Organs (N=49)	1236	31.291716
NEC of Lung or Other Organs (N=49)	1824	31.291716
NEC of Lung or Other Organs (N=49)	1965	31.291716
NEC of Lung or Other Organs (N=49)	2018	31.291716
NEC of Lung or Other Organs (N=49)	1062	31.291716
NEC of Lung or Other Organs (N=49)	1925	31.291716
NEC of Lung or Other Organs (N=49)	732	31.291716
NEC of Lung or Other Organs (N=49)	2274	31.291716
NEC of Lung or Other Organs (N=49)	3070	31.291716
NEC of Lung or Other Organs (N=49)	3503	31.291716
NEC of Lung or Other Organs (N=49)	1846	31.291716
NEC of Lung or Other Organs (N=49)	2138	31.291716
NEC of Lung or Other Organs (N=49)	3396	31.291716
NEC of Lung or Other Organs (N=49)	2895	31.291716
NEC of Lung or Other Organs (N=49)	2166	31.291716
NEC of Lung or Other Organs (N=49)	464	31.291716
Ovary (N=65)	813	31.291716
Ovary (N=65)	2146	31.291716
Ovary (N=65)	1314	31.291716
Ovary (N=65)	1544	31.291716
Ovary (N=65)	1244	31.291716
Ovary (N=65)	2188	31.291716
Ovary (N=65)	693	31.291716
Ovary (N=65)	756	31.291716
Ovary (N=65)	1424	31.291716
Ovary (N=65)	3503	31.291716
Ovary (N=65)	1844	31.291716
Ovary (N=65)	3701	31.291716
Ovary (N=65)	1100	31.291716
Ovary (N=65)	897	31.291716
Ovary (N=65)	1685	31.291716
Ovary (N=65)	1175	31.291716
Ovary (N=65)	1419	31.291716
Ovary (N=65)	2504	31.291716
Ovary (N=65)	1776	31.291716
Ovary (N=65)	2467	31.291716
Ovary (N=65)	1309	31.291716
Ovary (N=65)	1768	31.291716
Ovary (N=65)	2584	31.291716
Ovary (N=65)	833	31.291716
Ovary (N=65)	2505	31.291716
Ovary (N=65)	1117	31.291716
Ovary (N=65)	1330	31.291716
Ovary (N=65)	1426	31.291716
Ovary (N=65)	2160	31.291716
Ovary (N=65)	445	31.291716
Ovary (N=65)	1269	31.291716
Ovary (N=65)	528	31.291716
Ovary (N=65)	953	31.291716
Ovary (N=65)	1634	31.291716
Ovary (N=65)	1015	31.291716
Ovary (N=65)	703	31.291716
Ovary (N=65)	909	31.291716
Ovary (N=65)	1189	31.291716
Ovary (N=65)	2372	31.291716
Ovary (N=65)	1755	31.291716
Ovary (N=65)	1626	31.291716
Ovary (N=65)	1225	31.291716
Ovary (N=65)	1717	31.291716
Ovary (N=65)	2507	31.291716
Ovary (N=65)	2422	31.291716
Ovary (N=65)	449	31.291716
Ovary (N=65)	4332	31.291716
Ovary (N=65)	3845	31.291716
Ovary (N=65)	1047	31.291716
Ovary (N=65)	1299	31.291716
Ovary (N=65)	1532	31.291716
Ovary (N=65)	1440	31.291716
Ovary (N=65)	2820	31.291716
Ovary (N=65)	1095	31.291716
Ovary (N=65)	1953	31.291716
Ovary (N=65)	779	31.291716
Ovary (N=65)	2051	31.291716
Ovary (N=65)	850	31.291716
Ovary (N=65)	3014	31.291716
Ovary (N=65)	997	31.291716
Ovary (N=65)	1057	31.291716
Ovary (N=65)	3295	31.291716
Ovary (N=65)	1230	31.291716
Ovary (N=65)	2578	31.291716
Ovary (N=65)	3755	31.291716
Pancreas and Gallbladder (N=42)	1296	31.291716
Pancreas and Gallbladder (N=42)	5306	31.291716
Pancreas and Gallbladder (N=42)	1757	31.291716
Pancreas and Gallbladder (N=42)	627	31.291716
Pancreas and Gallbladder (N=42)	1911	31.291716
Pancreas and Gallbladder (N=42)	324	31.291716
Pancreas and Gallbladder (N=42)	1530	31.291716
Pancreas and Gallbladder (N=42)	1433	31.291716
Pancreas and Gallbladder (N=42)	170	31.291716
Pancreas and Gallbladder (N=42)	3529	31.291716
Pancreas and Gallbladder (N=42)	110	31.291716
Pancreas and Gallbladder (N=42)	2199	31.291716
Pancreas and Gallbladder (N=42)	392	31.291716
Pancreas and Gallbladder (N=42)	1327	31.291716
Pancreas and Gallbladder (N=42)	1581	31.291716
Pancreas and Gallbladder (N=42)	1435	31.291716
Pancreas and Gallbladder (N=42)	1800	31.291716
Pancreas and Gallbladder (N=42)	839	31.291716
Pancreas and Gallbladder (N=42)	1840	31.291716
Pancreas and Gallbladder (N=42)	1396	31.291716
Pancreas and Gallbladder (N=42)	1265	31.291716
Pancreas and Gallbladder (N=42)	1424	31.291716
Pancreas and Gallbladder (N=42)	254	31.291716
Pancreas and Gallbladder (N=42)	1245	31.291716
Pancreas and Gallbladder (N=42)	4948	31.291716
Pancreas and Gallbladder (N=42)	708	31.291716
Pancreas and Gallbladder (N=42)	4764	31.291716
Pancreas and Gallbladder (N=42)	546	31.291716
Pancreas and Gallbladder (N=42)	1105	31.291716
Pancreas and Gallbladder (N=42)	407	31.291716
Pancreas and Gallbladder (N=42)	1100	31.291716
Pancreas and Gallbladder (N=42)	167	31.291716
Pancreas and Gallbladder (N=42)	704	31.291716
Pancreas and Gallbladder (N=42)	1713	31.291716
Pancreas and Gallbladder (N=42)	782	31.291716
Pancreas and Gallbladder (N=42)	515	31.291716
Pancreas and Gallbladder (N=42)	1277	31.291716
Pancreas and Gallbladder (N=42)	400	31.291716
Pancreas and Gallbladder (N=42)	223	31.291716
Pancreas and Gallbladder (N=42)	262	31.291716
Pancreas and Gallbladder (N=42)	1219	31.291716
Pancreas and Gallbladder (N=42)	1349	31.291716
Plasma Cell Lineage (N=29)	168	31.291716
Plasma Cell Lineage (N=29)	539	31.291716
Plasma Cell Lineage (N=29)	102	31.291716
Plasma Cell Lineage (N=29)	54	31.291716
Plasma Cell Lineage (N=29)	71	31.291716
Plasma Cell Lineage (N=29)	201	31.291716
Plasma Cell Lineage (N=29)	153	31.291716
Plasma Cell Lineage (N=29)	117	31.291716
Plasma Cell Lineage (N=29)	521	31.291716
Plasma Cell Lineage (N=29)	789	31.291716
Plasma Cell Lineage (N=29)	380	31.291716
Plasma Cell Lineage (N=29)	50	31.291716
Plasma Cell Lineage (N=29)	12	31.291716
Plasma Cell Lineage (N=29)	224	31.291716
Plasma Cell Lineage (N=29)	1943	31.291716
Plasma Cell Lineage (N=29)	17	31.291716
Plasma Cell Lineage (N=29)	26	31.291716
Plasma Cell Lineage (N=29)	61	31.291716
Plasma Cell Lineage (N=29)	21	31.291716
Plasma Cell Lineage (N=29)	1681	31.291716
Plasma Cell Lineage (N=29)	1322	31.291716
Plasma Cell Lineage (N=29)	221	31.291716
Plasma Cell Lineage (N=29)	1105	31.291716
Plasma Cell Lineage (N=29)	1336	31.291716
Plasma Cell Lineage (N=29)	27	31.291716
Plasma Cell Lineage (N=29)	670	31.291716
Plasma Cell Lineage (N=29)	761	31.291716
Plasma Cell Lineage (N=29)	602	31.291716
Plasma Cell Lineage (N=29)	112	31.291716
Prostate (N=67)	3682	31.291716
Prostate (N=67)	3530	31.291716
Prostate (N=67)	3725	31.291716
Prostate (N=67)	6637	31.291716
Prostate (N=67)	4808	31.291716
Prostate (N=67)	4726	31.291716
Prostate (N=67)	2685	31.291716
Prostate (N=67)	2287	31.291716
Prostate (N=67)	4978	31.291716
Prostate (N=67)	4519	31.291716
Prostate (N=67)	2669	31.291716
Prostate (N=67)	1639	31.291716
Prostate (N=67)	1456	31.291716
Prostate (N=67)	2075	31.291716
Prostate (N=67)	2708	31.291716
Prostate (N=67)	4260	31.291716
Prostate (N=67)	5101	31.291716
Prostate (N=67)	3201	31.291716
Prostate (N=67)	5415	31.291716
Prostate (N=67)	3874	31.291716
Prostate (N=67)	3157	31.291716
Prostate (N=67)	2038	31.291716
Prostate (N=67)	4001	31.291716
Prostate (N=67)	2691	31.291716
Prostate (N=67)	5376	31.291716
Prostate (N=67)	3376	31.291716
Prostate (N=67)	5697	31.291716
Prostate (N=67)	2004	31.291716
Prostate (N=67)	2110	31.291716
Prostate (N=67)	1399	31.291716
Prostate (N=67)	1611	31.291716
Prostate (N=67)	3362	31.291716
Prostate (N=67)	1858	31.291716
Prostate (N=67)	3674	31.291716
Prostate (N=67)	5971	31.291716
Prostate (N=67)	2568	31.291716
Prostate (N=67)	4291	31.291716
Prostate (N=67)	3310	31.291716
Prostate (N=67)	2322	31.291716
Prostate (N=67)	2308	31.291716
Prostate (N=67)	818	31.291716
Prostate (N=67)	2228	31.291716
Prostate (N=67)	2029	31.291716
Prostate (N=67)	1678	31.291716
Prostate (N=67)	2987	31.291716
Prostate (N=67)	3386	31.291716
Prostate (N=67)	2184	31.291716
Prostate (N=67)	2956	31.291716
Prostate (N=67)	2017	31.291716
Prostate (N=67)	2981	31.291716
Prostate (N=67)	2951	31.291716
Prostate (N=67)	1387	31.291716
Prostate (N=67)	1743	31.291716
Prostate (N=67)	1880	31.291716
Prostate (N=67)	1467	31.291716
Prostate (N=67)	2725	31.291716
Prostate (N=67)	1758	31.291716
Prostate (N=67)	5173	31.291716
Prostate (N=67)	4160	31.291716
Prostate (N=67)	3493	31.291716
Prostate (N=67)	1312	31.291716
Prostate (N=67)	5647	31.291716
Prostate (N=67)	1800	31.291716
Prostate (N=67)	4440	31.291716
Prostate (N=67)	2834	31.291716
Prostate (N=67)	1302	31.291716
Prostate (N=67)	2342	31.291716
Stomach and Esophagus (N=86)	219	31.291716
Stomach and Esophagus (N=86)	7443	31.291716
Stomach and Esophagus (N=86)	319	31.291716
Stomach and Esophagus (N=86)	419	31.291716
Stomach and Esophagus (N=86)	16438	31.291716
Stomach and Esophagus (N=86)	4493	31.291716
Stomach and Esophagus (N=86)	3733	31.291716
Stomach and Esophagus (N=86)	8276	31.291716
Stomach and Esophagus (N=86)	3013	31.291716
Stomach and Esophagus (N=86)	3042	31.291716
Stomach and Esophagus (N=86)	3791	31.291716
Stomach and Esophagus (N=86)	3367	31.291716
Stomach and Esophagus (N=86)	8783	31.291716
Stomach and Esophagus (N=86)	3193	31.291716
Stomach and Esophagus (N=86)	2042	31.291716
Stomach and Esophagus (N=86)	1268	31.291716
Stomach and Esophagus (N=86)	324	31.291716
Stomach and Esophagus (N=86)	3141	31.291716
Stomach and Esophagus (N=86)	2138	31.291716
Stomach and Esophagus (N=86)	12524	31.291716
Stomach and Esophagus (N=86)	1286	31.291716
Stomach and Esophagus (N=86)	7652	31.291716
Stomach and Esophagus (N=86)	1159	31.291716
Stomach and Esophagus (N=86)	1918	31.291716
Stomach and Esophagus (N=86)	5211	31.291716
Stomach and Esophagus (N=86)	2365	31.291716
Stomach and Esophagus (N=86)	6247	31.291716
Stomach and Esophagus (N=86)	3376	31.291716
Stomach and Esophagus (N=86)	9508	31.291716
Stomach and Esophagus (N=86)	5353	31.291716
Stomach and Esophagus (N=86)	10071	31.291716
Stomach and Esophagus (N=86)	5411	31.291716
Stomach and Esophagus (N=86)	6598	31.291716
Stomach and Esophagus (N=86)	5584	31.291716
Stomach and Esophagus (N=86)	7301	31.291716
Stomach and Esophagus (N=86)	19149	31.291716
Stomach and Esophagus (N=86)	5439	31.291716
Stomach and Esophagus (N=86)	18861	31.291716
Stomach and Esophagus (N=86)	4889	31.291716
Stomach and Esophagus (N=86)	2051	31.291716
Stomach and Esophagus (N=86)	245	31.291716
Stomach and Esophagus (N=86)	12186	31.291716
Stomach and Esophagus (N=86)	6299	31.291716
Stomach and Esophagus (N=86)	1554	31.291716
Stomach and Esophagus (N=86)	14228	31.291716
Stomach and Esophagus (N=86)	13628	31.291716
Stomach and Esophagus (N=86)	8252	31.291716
Stomach and Esophagus (N=86)	28081	31.291716
Stomach and Esophagus (N=86)	7302	31.291716
Stomach and Esophagus (N=86)	17523	31.291716
Stomach and Esophagus (N=86)	16638	31.291716
Stomach and Esophagus (N=86)	7344	31.291716
Stomach and Esophagus (N=86)	1489	31.291716
Stomach and Esophagus (N=86)	1510	31.291716
Stomach and Esophagus (N=86)	2317	31.291716
Stomach and Esophagus (N=86)	6524	31.291716
Stomach and Esophagus (N=86)	5125	31.291716
Stomach and Esophagus (N=86)	2838	31.291716
Stomach and Esophagus (N=86)	580	31.291716
Stomach and Esophagus (N=86)	11664	31.291716
Stomach and Esophagus (N=86)	14456	31.291716
Stomach and Esophagus (N=86)	4800	31.291716
Stomach and Esophagus (N=86)	16510	31.291716
Stomach and Esophagus (N=86)	11142	31.291716
Stomach and Esophagus (N=86)	2932	31.291716
Stomach and Esophagus (N=86)	9146	31.291716
Stomach and Esophagus (N=86)	3176	31.291716
Stomach and Esophagus (N=86)	9603	31.291716
Stomach and Esophagus (N=86)	11388	31.291716
Stomach and Esophagus (N=86)	714	31.291716
Stomach and Esophagus (N=86)	1239	31.291716
Stomach and Esophagus (N=86)	2845	31.291716
Stomach and Esophagus (N=86)	1974	31.291716
Stomach and Esophagus (N=86)	1012	31.291716
Stomach and Esophagus (N=86)	5023	31.291716
Stomach and Esophagus (N=86)	1083	31.291716
Stomach and Esophagus (N=86)	3225	31.291716
Stomach and Esophagus (N=86)	1144	31.291716
Stomach and Esophagus (N=86)	6957	31.291716
Stomach and Esophagus (N=86)	1108	31.291716
Stomach and Esophagus (N=86)	8136	31.291716
Stomach and Esophagus (N=86)	2653	31.291716
Stomach and Esophagus (N=86)	2016	31.291716
Stomach and Esophagus (N=86)	2014	31.291716
Stomach and Esophagus (N=86)	3051	31.291716
Stomach and Esophagus (N=86)	1858	31.291716
Uterus (N=53)	1463	31.291716
Uterus (N=53)	1780	31.291716
Uterus (N=53)	2250	31.291716
Uterus (N=53)	649	31.291716
Uterus (N=53)	1499	31.291716
Uterus (N=53)	332	31.291716
Uterus (N=53)	3477	31.291716
Uterus (N=53)	3461	31.291716
Uterus (N=53)	2068	31.291716
Uterus (N=53)	978	31.291716
Uterus (N=53)	1152	31.291716
Uterus (N=53)	1222	31.291716
Uterus (N=53)	658	31.291716
Uterus (N=53)	995	31.291716
Uterus (N=53)	2029	31.291716
Uterus (N=53)	483	31.291716
Uterus (N=53)	1144	31.291716
Uterus (N=53)	2457	31.291716
Uterus (N=53)	3067	31.291716
Uterus (N=53)	2592	31.291716
Uterus (N=53)	862	31.291716
Uterus (N=53)	2588	31.291716
Uterus (N=53)	1007	31.291716
Uterus (N=53)	2625	31.291716
Uterus (N=53)	1159	31.291716
Uterus (N=53)	175	31.291716
Uterus (N=53)	2649	31.291716
Uterus (N=53)	2829	31.291716
Uterus (N=53)	1040	31.291716
Uterus (N=53)	1788	31.291716
Uterus (N=53)	3020	31.291716
Uterus (N=53)	3460	31.291716
Uterus (N=53)	702	31.291716
Uterus (N=53)	910	31.291716
Uterus (N=53)	2848	31.291716
Uterus (N=53)	1471	31.291716
Uterus (N=53)	749	31.291716
Uterus (N=53)	696	31.291716
Uterus (N=53)	1767	31.291716
Uterus (N=53)	1669	31.291716
Uterus (N=53)	1744	31.291716
Uterus (N=53)	5628	31.291716
Uterus (N=53)	4198	31.291716
Uterus (N=53)	4566	31.291716
Uterus (N=53)	462	31.291716
Uterus (N=53)	259	31.291716
Uterus (N=53)	2704	31.291716
Uterus (N=53)	2662	31.291716
Uterus (N=53)	1692	31.291716
Uterus (N=53)	2574	31.291716
Uterus (N=53)	1955	31.291716
Uterus (N=53)	2269	31.291716
Uterus (N=53)	880	31.291716
