label_w_size	n	region_size_mb
Breast (N=131)	1184	31.291716
Breast (N=131)	3615	31.291716
Breast (N=131)	8865	31.291716
Breast (N=131)	1475	31.291716
Breast (N=131)	926	31.291716
Breast (N=131)	1948	31.291716
Breast (N=131)	2436	31.291716
Breast (N=131)	1208	31.291716
Breast (N=131)	1346	31.291716
Breast (N=131)	1293	31.291716
Breast (N=131)	1986	31.291716
Breast (N=131)	667	31.291716
Breast (N=131)	5125	31.291716
Breast (N=131)	1680	31.291716
Breast (N=131)	2479	31.291716
Breast (N=131)	4729	31.291716
Breast (N=131)	1858	31.291716
Breast (N=131)	6010	31.291716
Breast (N=131)	1079	31.291716
Breast (N=131)	1491	31.291716
Breast (N=131)	9480	31.291716
Breast (N=131)	2069	31.291716
Breast (N=131)	2263	31.291716
Breast (N=131)	746	31.291716
Breast (N=131)	1291	31.291716
Breast (N=131)	1955	31.291716
Breast (N=131)	3212	31.291716
Breast (N=131)	3137	31.291716
Breast (N=131)	8209	31.291716
Breast (N=131)	1616	31.291716
Breast (N=131)	3107	31.291716
Breast (N=131)	1546	31.291716
Breast (N=131)	1716	31.291716
Breast (N=131)	1398	31.291716
Breast (N=131)	952	31.291716
Breast (N=131)	2914	31.291716
Breast (N=131)	2393	31.291716
Breast (N=131)	2567	31.291716
Breast (N=131)	1985	31.291716
Breast (N=131)	2093	31.291716
Breast (N=131)	454	31.291716
Breast (N=131)	1678	31.291716
Breast (N=131)	1331	31.291716
Breast (N=131)	1530	31.291716
Breast (N=131)	2593	31.291716
Breast (N=131)	1777	31.291716
Breast (N=131)	3115	31.291716
Breast (N=131)	3459	31.291716
Breast (N=131)	2854	31.291716
Breast (N=131)	2584	31.291716
Breast (N=131)	2949	31.291716
Breast (N=131)	1828	31.291716
Breast (N=131)	15832	31.291716
Breast (N=131)	3143	31.291716
Breast (N=131)	4463	31.291716
Breast (N=131)	2290	31.291716
Breast (N=131)	854	31.291716
Breast (N=131)	2634	31.291716
Cervix (N=33)	2982	31.291716
Cervix (N=33)	1424	31.291716
Cervix (N=33)	1193	31.291716
Cervix (N=33)	968	31.291716
Cervix (N=33)	2060	31.291716
Cervix (N=33)	4365	31.291716
Cervix (N=33)	1796	31.291716
Cervix (N=33)	1211	31.291716
Cervix (N=33)	2937	31.291716
Cervix (N=33)	4602	31.291716
Cervix (N=33)	1704	31.291716
Cervix (N=33)	2486	31.291716
Cervix (N=33)	214	31.291716
Cervix (N=33)	1579	31.291716
Cervix (N=33)	1469	31.291716
Cervix (N=33)	5928	31.291716
Cervix (N=33)	1983	31.291716
Cervix (N=33)	794	31.291716
Cervix (N=33)	2070	31.291716
Cervix (N=33)	419	31.291716
Cervix (N=33)	1876	31.291716
Cervix (N=33)	381	31.291716
Cervix (N=33)	785	31.291716
Cervix (N=33)	1326	31.291716
Cervix (N=33)	908	31.291716
Cervix (N=33)	1107	31.291716
Cervix (N=33)	833	31.291716
Cervix (N=33)	734	31.291716
Cervix (N=33)	2005	31.291716
Cervix (N=33)	1791	31.291716
Cervix (N=33)	1490	31.291716
Cervix (N=33)	1729	31.291716
Cervix (N=33)	324	31.291716
Colon and Rectum (N=84)	1350	31.291716
Colon and Rectum (N=84)	5433	31.291716
Colon and Rectum (N=84)	5759	31.291716
Colon and Rectum (N=84)	6010	31.291716
Colon and Rectum (N=84)	4596	31.291716
Colon and Rectum (N=84)	3274	31.291716
Colon and Rectum (N=84)	4852	31.291716
Colon and Rectum (N=84)	2391	31.291716
Colon and Rectum (N=84)	1562	31.291716
Colon and Rectum (N=84)	2527	31.291716
Colon and Rectum (N=84)	4559	31.291716
Colon and Rectum (N=84)	4075	31.291716
Colon and Rectum (N=84)	2210	31.291716
Colon and Rectum (N=84)	3671	31.291716
Colon and Rectum (N=84)	4655	31.291716
Colon and Rectum (N=84)	2362	31.291716
Colon and Rectum (N=84)	4933	31.291716
Colon and Rectum (N=84)	1797	31.291716
Colon and Rectum (N=84)	7228	31.291716
Colon and Rectum (N=84)	1857	31.291716
Colon and Rectum (N=84)	16909	31.291716
Colon and Rectum (N=84)	9442	31.291716
Colon and Rectum (N=84)	4707	31.291716
Colon and Rectum (N=84)	2444	31.291716
Colon and Rectum (N=84)	2272	31.291716
Colon and Rectum (N=84)	3462	31.291716
Colon and Rectum (N=84)	23866	31.291716
Colon and Rectum (N=84)	4128	31.291716
Colon and Rectum (N=84)	2514	31.291716
Colon and Rectum (N=84)	11117	31.291716
Colon and Rectum (N=84)	1756	31.291716
Colon and Rectum (N=84)	6769	31.291716
